City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,carutapera,BR,74.39,overcast clouds,-1.195,-46.02,
389,chunhuhub,MX,75.97,overcast clouds,19.55,-88.6833,
390,candelaria,PH,87.39,overcast clouds,13.9311,121.4233,
391,taguatinga,BR,66.36,clear sky,-12.3857,-46.5711,
393,juneau,US,64.4,broken clouds,58.3019,-134.4197,
396,belmonte,BR,70.66,few clouds,-15.8631,-38.8828,
397,araouane,ML,88.3,clear sky,18.9048,-3.5265,
399,teeli,RU,63.18,scattered clouds,51.0333,90.2333,
401,pringsewu,ID,85.6,overcast clouds,-5.3582,104.9744,
403,alcaniz,ES,69.1,broken clouds,41.05,-0.1333,
405,arlit,NE,86.32,scattered clouds,18.7369,7.3853,
407,jumla,NP,72.61,clear sky,29.2747,82.1838,
408,gorontalo,ID,86.67,scattered clouds,0.5412,123.0595,
410,marsh harbour,BS,79.7,moderate rain,26.5412,-77.0636,
413,winneba,GH,76.87,broken clouds,5.3511,-0.6231,
415,morros,BR,69.28,clear sky,-9.4467,-46.3003,
416,smithers,CA,66.52,few clouds,54.7804,-127.1743,
417,ayagoz,KZ,75.85,clear sky,47.9714,80.4392,
418,kudahuvadhoo,MV,82.31,overcast clouds,2.6708,72.8944,
422,hobyo,SO,80.69,broken clouds,5.3505,48.5268,
423,sagarejo,GE,63.03,broken clouds,41.734,45.3315,
424,kashi,CN,78.01,clear sky,39.4547,75.9797,
426,mulki,IN,79.88,broken clouds,13.1,74.8,
427,carepa,CO,73.87,overcast clouds,7.7585,-76.6525,
428,sobolevo,RU,60.78,broken clouds,54.4299,31.8996,
430,wajir,KE,75.16,clear sky,1.7471,40.0573,
431,badiraguato,MX,77.7,clear sky,25.3667,-107.5167,
433,kimbe,PG,83.03,moderate rain,-5.5502,150.1429,
434,bull savanna,JM,75.42,overcast clouds,17.8868,-77.5902,
436,lahaina,US,84.2,scattered clouds,20.8783,-156.6825,
437,magole,TZ,63.82,scattered clouds,-6.3667,37.3667,
439,cordele,US,77.52,clear sky,31.9635,-83.7824,
440,ladario,BR,71.6,broken clouds,-19.0047,-57.6017,
441,kirakira,SB,83.44,scattered clouds,-10.4544,161.9205,
443,cap malheureux,MU,71.47,few clouds,-19.9842,57.6142,
444,pisco,PE,60.03,few clouds,-13.7,-76.2167,
445,caraballeda,VE,75.27,scattered clouds,10.6112,-66.8522,
446,aldama,MX,79.79,few clouds,22.9167,-98.0667,
448,vredendal,ZA,64.4,clear sky,-31.6683,18.5012,
451,port hedland,AU,78.85,broken clouds,-20.3167,118.5667,
452,bexhill,AU,64.63,clear sky,-28.7667,153.35,
453,nadym,RU,64.49,clear sky,65.5333,72.5167,
