City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
160,upernavik,GL,2022-06-08 03:31:28,72.7868,-56.1549,31.33,72,52,2.91,broken clouds,0.0,0
161,east millcreek,US,2022-06-08 03:31:30,40.7,-111.8105,66.34,39,0,3.44,clear sky,0.0,0
162,narsaq,GL,2022-06-08 03:31:30,60.9167,-46.05,48.42,76,59,2.28,broken clouds,0.0,0
163,japura,ID,2022-06-08 03:31:32,-0.3167,102.35,85.59,73,80,1.19,broken clouds,0.0,0
164,namibe,AO,2022-06-08 03:31:32,-15.1961,12.1522,72.45,43,3,6.33,clear sky,0.0,0
165,mae sai,TH,2022-06-08 03:31:33,20.4335,99.8762,75.61,95,100,1.86,overcast clouds,0.0,0
166,puerto narino,CO,2022-06-08 03:31:34,-3.7703,-70.3831,71.04,91,99,2.17,overcast clouds,0.0,0
167,buarcos,PT,2022-06-08 03:31:35,40.166,-8.8768,66.67,94,100,3.78,overcast clouds,0.0,0
168,mollendo,PE,2022-06-08 03:31:37,-17.0231,-72.0147,62.28,90,92,5.82,overcast clouds,0.0,0
169,jamestown,US,2022-06-08 03:31:39,42.097,-79.2353,56.01,75,0,4.61,clear sky,0.0,0
170,flinders,AU,2022-06-08 03:31:40,-34.5833,150.8552,61.18,46,10,8.01,clear sky,0.0,0
171,puerto tejada,CO,2022-06-08 03:31:40,3.2311,-76.4167,71.55,95,100,1.52,overcast clouds,0.0,0
172,bloomfield,US,2022-06-08 03:31:41,40.8068,-74.1854,68.61,89,100,10.36,light rain,0.0,0
173,ferme-neuve,CA,2022-06-08 03:31:41,46.7001,-75.4493,59.36,98,100,8.81,overcast clouds,0.0,0
174,mabama,TZ,2022-06-08 03:31:41,-5.1333,32.5333,56.75,86,5,4.41,clear sky,0.0,0
175,bethel,US,2022-06-08 03:31:42,41.3712,-73.414,66.45,91,100,9.22,overcast clouds,0.0,0
176,kuryk,KZ,2022-06-08 03:31:42,43.2,51.65,73.62,45,17,11.21,few clouds,0.0,0
177,qaanaaq,GL,2022-06-08 03:31:43,77.484,-69.3632,25.09,93,98,2.8,overcast clouds,0.0,0
178,touros,BR,2022-06-08 03:31:43,-5.1989,-35.4608,74.03,85,100,8.08,overcast clouds,0.0,0
179,saint-philippe,RE,2022-06-08 03:31:43,-21.3585,55.7679,67.59,83,56,7.43,light rain,0.0,0
180,sosnovo-ozerskoye,RU,2022-06-08 03:31:44,52.5249,111.5418,52.92,77,99,10.63,overcast clouds,0.0,0
181,beringovskiy,RU,2022-06-08 03:31:44,63.05,179.3167,37.89,71,41,6.4,scattered clouds,0.0,0
182,margate,GB,2022-06-08 03:31:45,51.3813,1.3862,58.3,92,100,4.0,overcast clouds,0.0,0
183,yarada,IN,2022-06-08 03:31:45,17.65,83.2667,88.12,84,40,4.61,mist,0.0,0
184,leshan,CN,2022-06-08 03:31:46,29.5623,103.7639,76.91,71,100,0.51,overcast clouds,0.0,0
185,kashan,IR,2022-06-08 03:31:46,33.9831,51.4364,88.3,17,4,7.07,clear sky,0.0,0
186,kumano,JP,2022-06-08 03:31:47,34.3442,132.5894,72.77,57,26,3.18,scattered clouds,0.0,0
187,najran,SA,2022-06-08 03:31:48,17.4924,44.1277,68.65,11,94,2.86,overcast clouds,0.0,0
188,aykhal,RU,2022-06-08 03:31:50,66.0,111.5,66.29,43,100,12.75,overcast clouds,0.0,0
189,castlegar,CA,2022-06-08 03:31:51,49.2998,-117.6689,65.08,73,88,2.3,overcast clouds,0.0,0
190,saint-leu,RE,2022-06-08 03:31:52,-21.15,55.2833,67.32,72,2,11.7,clear sky,0.0,0
191,avera,US,2022-06-08 03:31:53,33.194,-82.5271,76.55,71,100,4.63,overcast clouds,0.0,0
192,cape town,ZA,2022-06-08 03:31:24,-33.9258,18.4232,67.37,50,0,4.61,clear sky,0.0,0
193,conceicao do araguaia,BR,2022-06-08 03:31:53,-8.2578,-49.2647,74.23,67,76,2.13,broken clouds,0.0,0
194,las vegas,US,2022-06-08 03:31:55,36.175,-115.1372,99.84,14,75,14.97,broken clouds,0.0,0
195,kabanjahe,ID,2022-06-08 03:31:57,3.1001,98.4908,73.56,73,100,2.24,overcast clouds,0.0,0
196,kununurra,AU,2022-06-08 03:31:59,-15.7667,128.7333,85.98,32,10,9.22,clear sky,0.0,0
197,hualmay,PE,2022-06-08 03:32:01,-11.0964,-77.6139,63.41,87,5,4.97,clear sky,0.0,0
198,san javier,ES,2022-06-08 03:32:03,37.8063,-0.8374,71.67,77,8,4.0,clear sky,0.0,0
199,kpandae,GH,2022-06-08 03:32:05,8.4689,-0.0113,74.39,83,94,3.47,overcast clouds,0.0,0
200,atambua,ID,2022-06-08 03:32:08,-9.1061,124.8925,85.08,55,48,3.62,scattered clouds,0.0,0
201,fallon,US,2022-06-08 03:32:08,39.4735,-118.7774,80.47,14,75,9.22,broken clouds,0.0,0
202,inirida,CO,2022-06-08 03:32:09,3.8653,-67.9239,73.0,98,100,2.77,overcast clouds,0.0,0
203,coahuayana,MX,2022-06-08 03:32:10,18.7333,-103.6833,76.84,81,79,1.28,broken clouds,0.0,0
204,saldanha,ZA,2022-06-08 03:32:11,-33.0117,17.9442,51.85,51,2,12.03,clear sky,0.0,0
205,kavaratti,IN,2022-06-08 03:32:13,10.5669,72.642,82.83,75,90,14.25,overcast clouds,0.0,0
206,ponta do sol,PT,2022-06-08 03:32:15,32.6667,-17.1,69.71,77,0,2.42,clear sky,0.0,0
207,spornoye,RU,2022-06-08 03:32:16,50.8448,37.2913,61.25,74,1,2.84,clear sky,0.0,0
208,eyl,SO,2022-06-08 03:32:16,7.9803,49.8164,83.35,57,100,21.88,overcast clouds,0.0,0
209,mar del plata,AR,2022-06-08 03:29:10,-38.0023,-57.5575,51.1,100,97,14.97,mist,0.0,0
210,cabo san lucas,MX,2022-06-08 03:31:21,22.8909,-109.9124,79.9,73,7,15.79,clear sky,0.0,0
211,roma,US,2022-06-08 03:32:18,43.2128,-75.4557,67.73,95,100,3.44,mist,0.0,0
212,waingapu,ID,2022-06-08 03:32:20,-9.6567,120.2641,86.99,59,22,16.93,few clouds,0.0,0
213,grindavik,IS,2022-06-08 03:32:20,63.8424,-22.4338,50.47,76,75,3.44,broken clouds,0.0,0
214,bathsheba,BB,2022-06-08 03:32:21,13.2167,-59.5167,83.01,78,75,18.41,broken clouds,0.0,0
215,zapolyarnyy,RU,2022-06-08 03:32:22,69.4154,30.8136,49.28,56,70,10.65,broken clouds,0.0,0
216,bambous virieux,MU,2022-06-08 03:32:23,-20.3428,57.7575,71.22,94,40,2.3,scattered clouds,0.0,0
217,flin flon,CA,2022-06-08 03:32:24,54.7682,-101.865,53.85,48,100,4.43,overcast clouds,0.0,0
218,nemuro,JP,2022-06-08 03:32:25,43.3236,145.575,46.63,79,100,7.23,overcast clouds,0.0,0
219,tra vinh,VN,2022-06-08 03:32:22,9.9347,106.3453,89.2,60,100,8.28,overcast clouds,0.0,0
220,caiaponia,BR,2022-06-08 03:32:27,-16.9567,-51.8103,69.04,59,35,0.6,scattered clouds,0.0,0
221,victoria,HK,2022-06-08 03:28:44,22.2855,114.1577,79.25,95,100,15.99,very heavy rain,0.0,0
222,mahebourg,MU,2022-06-08 03:32:28,-20.4081,57.7,71.26,94,40,2.3,scattered clouds,0.0,0
223,dalton,US,2022-06-08 03:30:02,34.7698,-84.9702,73.89,95,0,0.0,clear sky,0.0,0
224,chuy,UY,2022-06-08 03:32:30,-33.6971,-53.4616,52.38,95,91,4.88,overcast clouds,0.0,0
225,cambridge,CA,2022-06-08 03:29:41,43.3601,-80.3127,56.28,89,0,6.91,clear sky,0.0,0
226,matane,CA,2022-06-08 03:27:32,48.8286,-67.522,54.54,70,100,6.87,overcast clouds,0.0,0
227,ust-maya,RU,2022-06-08 03:32:31,60.4167,134.5333,72.93,30,0,7.4,clear sky,0.0,0
228,vestmannaeyjar,IS,2022-06-08 03:32:31,63.4427,-20.2734,49.6,83,100,14.25,overcast clouds,0.0,0
229,talara,PE,2022-06-08 03:32:31,-4.5772,-81.2719,64.71,86,98,11.05,overcast clouds,0.0,0
230,ilulissat,GL,2022-06-08 03:32:33,69.2167,-51.1,37.42,65,16,1.14,few clouds,0.0,0
231,ancud,CL,2022-06-08 03:32:35,-41.8697,-73.8203,51.22,86,100,13.91,light rain,0.0,0
232,batagay,RU,2022-06-08 03:32:36,67.6333,134.6333,74.32,21,100,4.16,overcast clouds,0.0,0
233,lata,PT,2022-06-08 03:32:37,40.1629,-8.3327,63.07,83,97,0.49,overcast clouds,0.0,0
234,adeje,ES,2022-06-08 03:32:39,28.1227,-16.726,67.08,73,0,13.8,clear sky,0.0,0
235,portland,US,2022-06-08 03:32:00,45.5234,-122.6762,67.93,74,100,5.01,overcast clouds,0.0,0
